                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                 1.3792,                 1.1363,                 1.3774,                0.59715,                0.66958,                0.62345,                0.34628,                 2.2334,                 1.9575,                 1.4048,             0.00085546,             0.00085546,             0.00085546
                    149,                  1.417,                 1.2202,                 1.3962,                0.56904,                0.70002,                0.61169,                0.33424,                 2.2765,                  2.084,                  1.416,             0.00085447,             0.00085447,             0.00085447
                    150,                 1.4653,                 1.2365,                 1.4104,                0.58722,                0.70703,                0.66001,                 0.3352,                  2.282,                 2.8604,                 1.3913,             0.00085348,             0.00085348,             0.00085348
                    151,                 1.4859,                 1.2618,                 1.4099,                0.59232,                0.73894,                0.65648,                0.34322,                 2.2777,                 2.2865,                 1.3891,             0.00085249,             0.00085249,             0.00085249
                    152,                 1.5038,                 1.3708,                 1.5257,                0.61288,                0.74018,                0.66458,                0.33639,                 2.2342,                 1.9854,                  1.447,              0.0008515,              0.0008515,              0.0008515
                    153,                  1.485,                 1.2744,                 1.4525,                0.63305,                0.75693,                0.68415,                0.36843,                 2.0901,                 2.2279,                 1.3722,             0.00085051,             0.00085051,             0.00085051
                    154,                 1.4622,                 1.2471,                  1.419,                0.62179,                 0.7284,                0.69076,                0.37839,                 2.0408,                 2.2072,                 1.3572,             0.00084952,             0.00084952,             0.00084952
                    155,                 1.4717,                 1.2857,                 1.3791,                 0.6877,                0.69053,                0.69797,                0.36651,                 2.0764,                 1.6291,                  1.362,             0.00084853,             0.00084853,             0.00084853
                    156,                 1.5226,                 1.3132,                 1.4606,                0.69239,                0.65104,                0.69455,                0.36604,                 2.0227,                 1.8763,                 1.3993,             0.00084754,             0.00084754,             0.00084754
                    157,                 1.3713,                 1.1886,                 1.3929,                0.67617,                0.64078,                0.69002,                0.35839,                 2.0911,                 2.1995,                 1.3965,             0.00084655,             0.00084655,             0.00084655
                    158,                 1.5983,                 1.4261,                  1.469,                 0.5792,                0.76783,                0.66606,                0.35734,                   1.98,                 1.9336,                 1.3417,             0.00084556,             0.00084556,             0.00084556
                    159,                 1.4497,                 1.2739,                 1.3652,                0.61206,                0.73768,                0.66744,                0.34943,                 2.0174,                 1.9288,                 1.3551,             0.00084457,             0.00084457,             0.00084457
                    160,                 1.4602,                  1.293,                 1.4478,                0.65919,                0.80031,                   0.71,                0.37037,                 1.9605,                 1.9703,                 1.3336,             0.00084358,             0.00084358,             0.00084358
                    161,                 1.5224,                 1.2877,                 1.4732,                 0.6878,                0.73194,                 0.7113,                0.35511,                 2.0229,                 1.5126,                 1.3914,             0.00084259,             0.00084259,             0.00084259
                    162,                 1.4979,                 1.2117,                 1.3956,                0.76122,                0.75257,                0.77479,                0.37752,                 1.8893,                 1.8974,                 1.3459,              0.0008416,              0.0008416,              0.0008416
                    163,                 1.5164,                 1.3315,                 1.4928,                0.68613,                0.69467,                0.66853,                0.38067,                 1.8325,                 1.6313,                 1.3047,             0.00084061,             0.00084061,             0.00084061
                    164,                 1.4275,                 1.1948,                 1.3991,                0.58751,                0.76932,                0.67284,                0.37266,                 1.9226,                 1.3988,                 1.3213,             0.00083962,             0.00083962,             0.00083962
                    165,                 1.3752,                 1.1381,                 1.3633,                0.60238,                0.80066,                0.69499,                0.38135,                 1.9206,                 1.5644,                 1.3717,             0.00083863,             0.00083863,             0.00083863
                    166,                 1.4705,                  1.187,                 1.3857,                 0.6214,                0.76131,                0.69308,                0.37398,                 1.8531,                 1.6195,                 1.3332,             0.00083764,             0.00083764,             0.00083764
                    167,                 1.4299,                 1.1959,                 1.3749,                0.59935,                0.74472,                0.70164,                0.37391,                 1.8481,                 1.2558,                 1.3158,             0.00083665,             0.00083665,             0.00083665
                    168,                 1.3321,                 1.1309,                 1.3414,                0.60256,                0.81987,                0.68372,                0.37812,                 1.7944,                 1.4926,                 1.2837,             0.00083566,             0.00083566,             0.00083566
                    169,                 1.4785,                 1.3523,                 1.2936,                0.66829,                0.75101,                0.68457,                0.36548,                 1.8906,                 1.7368,                 1.3333,             0.00083467,             0.00083467,             0.00083467
                    170,                  1.362,                 1.1367,                 1.3295,                0.53363,                0.75876,                0.66766,                0.35028,                 1.9315,                 1.4134,                 1.3561,             0.00083368,             0.00083368,             0.00083368
                    171,                 1.3769,                 1.1442,                 1.3169,                0.53489,                0.70012,                0.65278,                 0.3393,                 1.8597,                 1.6127,                 1.3287,             0.00083269,             0.00083269,             0.00083269
                    172,                 1.4519,                 1.1519,                 1.3812,                0.64802,                0.78074,                0.72204,                0.36224,                 1.8302,                  2.004,                 1.3352,              0.0008317,              0.0008317,              0.0008317
                    173,                 1.3478,                 1.1055,                 1.3763,                0.66832,                0.78895,                0.71768,                0.35949,                 1.8359,                 1.6211,                 1.3234,             0.00083071,             0.00083071,             0.00083071
                    174,                 1.3796,                 1.1844,                 1.2994,                0.66835,                0.81158,                0.73891,                0.36034,                 1.9435,                 1.4473,                 1.3807,             0.00082972,             0.00082972,             0.00082972
                    175,                  1.409,                 1.1372,                 1.3986,                0.73118,                0.78345,                0.75149,                0.36832,                 1.9104,                 1.5382,                 1.3406,             0.00082873,             0.00082873,             0.00082873
                    176,                  1.454,                 1.1522,                 1.3698,                0.75519,                0.77081,                0.76122,                0.39512,                 1.8269,                 1.1967,                 1.3126,             0.00082774,             0.00082774,             0.00082774
                    177,                 1.4772,                   1.28,                 1.3862,                0.68414,                 0.7255,                 0.7305,                0.38125,                 1.9005,                  1.284,                 1.3234,             0.00082675,             0.00082675,             0.00082675
                    178,                 1.4109,                 1.3006,                 1.3665,                0.61446,                0.78076,                0.72068,                0.36944,                  1.867,                 1.7848,                 1.3188,             0.00082576,             0.00082576,             0.00082576
                    179,                  1.423,                 1.2314,                 1.3639,                0.67996,                0.70792,                0.66297,                0.35407,                 1.8693,                  1.994,                 1.3287,             0.00082477,             0.00082477,             0.00082477
                    180,                 1.3541,                 1.1391,                 1.3322,                 0.7009,                0.68278,                0.68697,                0.37292,                  1.818,                 2.0389,                 1.3136,             0.00082378,             0.00082378,             0.00082378
                    181,                 1.3949,                 1.1929,                 1.3552,                0.61303,                0.77278,                0.69577,                0.34698,                 1.8474,                 1.7862,                 1.3289,             0.00082279,             0.00082279,             0.00082279
                    182,                 1.4097,                 1.1824,                 1.3192,                0.65889,                0.76963,                0.70758,                0.35471,                  1.831,                 1.4344,                 1.3316,              0.0008218,              0.0008218,              0.0008218
                    183,                 1.3242,                 1.1597,                 1.3277,                0.56823,                0.70413,                0.70261,                0.37142,                 1.8254,                 1.3213,                 1.2878,             0.00082081,             0.00082081,             0.00082081
                    184,                 1.4325,                 1.2326,                 1.3834,                0.60776,                0.65399,                0.69455,                0.36956,                 1.8488,                 1.2322,                 1.3059,             0.00081982,             0.00081982,             0.00081982
                    185,                 1.4076,                  1.138,                 1.3231,                0.67368,                0.77288,                0.72334,                0.38776,                 1.8421,                 1.1359,                 1.3198,             0.00081883,             0.00081883,             0.00081883
                    186,                 1.3444,                 1.0946,                 1.2785,                0.67008,                 0.7661,                0.72821,                0.38669,                 1.7531,                 1.3593,                 1.2972,             0.00081784,             0.00081784,             0.00081784
                    187,                 1.4414,                 1.1923,                 1.3628,                0.72441,                0.83241,                0.80972,                0.40568,                 1.7351,                 1.4025,                  1.274,             0.00081685,             0.00081685,             0.00081685
                    188,                 1.3864,                  1.148,                 1.3594,                0.63254,                 0.8706,                 0.7596,                0.37801,                  1.763,                 1.2294,                 1.2864,             0.00081586,             0.00081586,             0.00081586
                    189,                 1.3802,                 1.1297,                 1.3401,                0.66971,                0.76716,                0.73507,                0.37472,                 1.7597,                  1.531,                  1.316,             0.00081487,             0.00081487,             0.00081487
                    190,                 1.3642,                 1.0381,                 1.2912,                0.65289,                0.80484,                0.71124,                0.36767,                 1.8254,                 1.4971,                  1.336,             0.00081388,             0.00081388,             0.00081388
                    191,                 1.4177,                 1.1808,                 1.3434,                  0.653,                0.77693,                0.74334,                0.37376,                 1.8921,                 1.6098,                 1.3036,             0.00081289,             0.00081289,             0.00081289
                    192,                 1.3855,                 1.1889,                 1.3869,                0.63342,                0.77419,                0.74444,                0.39303,                 1.7778,                  1.436,                 1.2994,              0.0008119,              0.0008119,              0.0008119
                    193,                 1.3127,                 1.0606,                 1.2591,                0.66247,                0.81976,                0.72614,                0.38356,                 1.8704,                 1.5387,                 1.3427,             0.00081091,             0.00081091,             0.00081091
                    194,                 1.4379,                 1.1719,                 1.3361,                0.62403,                0.75938,                0.71538,                0.38682,                 1.8542,                 1.3308,                 1.2989,             0.00080992,             0.00080992,             0.00080992
                    195,                 1.2733,                 1.0703,                 1.2934,                0.79895,                0.73011,                0.72099,                 0.3989,                 1.8051,                 1.4257,                 1.3155,             0.00080893,             0.00080893,             0.00080893
                    196,                 1.3204,                 1.1402,                 1.3095,                0.58317,                0.80112,                0.73105,                0.39199,                 1.8162,                 1.3756,                 1.3249,             0.00080794,             0.00080794,             0.00080794
                    197,                  1.289,                 1.0761,                  1.326,                0.65254,                0.76171,                0.71573,                 0.3991,                 1.7487,                 1.3894,                 1.3014,             0.00080695,             0.00080695,             0.00080695
                    198,                 1.3735,                 1.0269,                 1.3105,                0.58596,                0.83569,                0.74141,                0.39814,                 1.7221,                 1.6281,                 1.2968,             0.00080596,             0.00080596,             0.00080596
                    199,                 1.2803,                 1.0652,                 1.2978,                0.68353,                0.76844,                0.74179,                0.37986,                  1.815,                  1.611,                 1.3158,             0.00080497,             0.00080497,             0.00080497
                    200,                 1.2921,                 1.0613,                 1.2993,                0.61663,                0.82612,                0.72176,                0.38912,                 1.8418,                  1.339,                 1.3159,             0.00080398,             0.00080398,             0.00080398
                    201,                 1.3225,                  1.036,                 1.3076,                0.72472,                0.84831,                0.75946,                0.38994,                 1.6993,                 1.3934,                 1.3068,             0.00080299,             0.00080299,             0.00080299
                    202,                 1.3359,                 1.0819,                 1.2952,                0.74619,                0.79007,                0.81119,                0.40354,                 1.6942,                 1.3075,                 1.3047,               0.000802,               0.000802,               0.000802
                    203,                 1.3076,                 1.0672,                 1.3332,                0.74119,                 0.7502,                0.76985,                0.38218,                 1.7322,                 1.6794,                 1.2969,             0.00080101,             0.00080101,             0.00080101
                    204,                 1.3689,                 1.1374,                 1.3177,                0.66955,                0.73487,                0.70532,                0.37758,                 1.7427,                 1.8731,                 1.2917,             0.00080002,             0.00080002,             0.00080002
                    205,                 1.3503,                 1.1239,                 1.2768,                0.63152,                0.79545,                0.70066,                0.37159,                 1.7599,                 1.5775,                 1.3106,             0.00079903,             0.00079903,             0.00079903
                    206,                 1.3376,                 1.0509,                 1.2827,                0.64688,                0.75098,                0.72663,                0.37574,                 1.7984,                 1.4872,                 1.3044,             0.00079804,             0.00079804,             0.00079804
                    207,                 1.3252,                 1.0154,                 1.3022,                0.69093,                0.73911,                0.74547,                0.39158,                 1.8522,                 1.6398,                 1.3023,             0.00079705,             0.00079705,             0.00079705
                    208,                 1.2966,                0.97827,                 1.2665,                0.69278,                0.72862,                0.77661,                0.41134,                 1.7818,                 1.2901,                 1.3018,             0.00079606,             0.00079606,             0.00079606
                    209,                 1.3265,                 1.1158,                 1.2861,                0.73787,                0.76755,                0.80042,                0.41294,                 1.7268,                 1.1639,                 1.3271,             0.00079507,             0.00079507,             0.00079507
                    210,                 1.3055,                 1.0614,                 1.2911,                0.67687,                0.82999,                0.76874,                0.41086,                 1.7518,                 1.6964,                 1.3026,             0.00079408,             0.00079408,             0.00079408
                    211,                 1.3276,                 1.0702,                 1.2873,                0.68835,                0.78203,                0.74886,                 0.3914,                   1.71,                 1.4025,                 1.2923,             0.00079309,             0.00079309,             0.00079309
                    212,                 1.2808,                0.99135,                 1.2825,                0.65985,                0.78575,                0.72566,                0.40113,                 1.7237,                 1.1026,                 1.3142,              0.0007921,              0.0007921,              0.0007921
                    213,                 1.2855,                0.99764,                 1.2489,                0.70812,                0.80732,                0.76727,                0.41293,                  1.735,                 1.1577,                 1.3083,             0.00079111,             0.00079111,             0.00079111
                    214,                 1.2915,                 1.0371,                 1.3089,                 0.7046,                0.75309,                0.74095,                0.42157,                 1.6762,                 1.2261,                 1.2986,             0.00079012,             0.00079012,             0.00079012
                    215,                 1.3811,                 1.1582,                 1.2447,                0.70393,                0.73083,                0.75372,                0.38232,                 1.7634,                  1.448,                 1.3078,             0.00078913,             0.00078913,             0.00078913
                    216,                 1.3169,                 1.0221,                 1.2747,                0.66928,                0.82363,                0.72823,                0.38984,                 1.7708,                 1.4201,                 1.3059,             0.00078814,             0.00078814,             0.00078814
                    217,                 1.2759,                 1.0073,                 1.2832,                0.64397,                0.77661,                0.73582,                0.40002,                 1.7435,                 1.3254,                 1.3248,             0.00078715,             0.00078715,             0.00078715
                    218,                 1.2868,                 1.0603,                 1.2622,                 0.6671,                0.73019,                0.70652,                 0.3797,                 1.6977,                 1.3003,                 1.3067,             0.00078616,             0.00078616,             0.00078616
                    219,                 1.3516,                 1.0344,                 1.2692,                 0.6872,                0.71627,                 0.7055,                0.35686,                 1.7292,                 1.3807,                 1.3004,             0.00078517,             0.00078517,             0.00078517
                    220,                 1.2636,                 1.0034,                 1.2808,                 0.6833,                0.68423,                0.69721,                0.37421,                 1.6468,                   1.65,                 1.2953,             0.00078418,             0.00078418,             0.00078418
                    221,                 1.2974,                 1.0097,                 1.2936,                0.69564,                0.71161,                0.73244,                0.37676,                 1.6497,                 1.6456,                 1.3306,             0.00078319,             0.00078319,             0.00078319
                    222,                 1.2994,                 1.0023,                 1.2523,                0.69319,                0.71864,                0.73162,                0.39545,                 1.5888,                 1.4576,                  1.295,              0.0007822,              0.0007822,              0.0007822
                    223,                 1.3122,                 1.0358,                 1.3235,                 0.6815,                0.76904,                0.71326,                0.39458,                 1.7984,                 1.3333,                 1.3294,             0.00078121,             0.00078121,             0.00078121
                    224,                  1.343,                 1.1229,                 1.2818,                0.67554,                0.81331,                0.78321,                0.43305,                 1.6528,                 1.3689,                 1.2797,             0.00078022,             0.00078022,             0.00078022
                    225,                 1.3321,                 1.0842,                 1.3299,                0.73603,                0.77685,                0.79787,                0.44531,                 1.6563,                 1.2778,                  1.261,             0.00077923,             0.00077923,             0.00077923
                    226,                 1.2785,                 1.0477,                 1.3147,                0.76771,                0.74151,                0.75018,                0.42109,                 1.6167,                 1.4167,                 1.2484,             0.00077824,             0.00077824,             0.00077824
                    227,                  1.264,                 1.0122,                 1.2459,                0.74417,                 0.7721,                0.72171,                 0.3997,                 1.7056,                 1.4806,                 1.2806,             0.00077725,             0.00077725,             0.00077725
                    228,                 1.3062,                 1.0684,                 1.2647,                0.72366,                0.68377,                0.70535,                 0.3786,                 1.6747,                 1.5863,                  1.279,             0.00077626,             0.00077626,             0.00077626
                    229,                 1.3176,                 1.0801,                 1.3026,                0.69034,                0.81027,                0.72598,                0.39412,                 1.6285,                 1.6312,                 1.2611,             0.00077527,             0.00077527,             0.00077527
                    230,                 1.2664,                 1.0124,                 1.2931,                0.72009,                0.74171,                 0.7376,                0.40356,                 1.7092,                 1.5261,                 1.2941,             0.00077428,             0.00077428,             0.00077428
                    231,                 1.2913,                 1.0218,                 1.2671,                0.73975,                0.67054,                0.74091,                0.38821,                 1.6471,                  1.227,                 1.2942,             0.00077329,             0.00077329,             0.00077329
                    232,                 1.2532,                 1.0815,                 1.2939,                0.72237,                 0.7028,                 0.7099,                0.36057,                 1.7508,                 1.3873,                 1.3138,              0.0007723,              0.0007723,              0.0007723
                    233,                 1.2837,                 1.0424,                   1.26,                0.70188,                0.76454,                 0.7196,                0.37406,                 1.6662,                 1.4171,                 1.2933,             0.00077131,             0.00077131,             0.00077131
                    234,                 1.2673,                 1.0668,                 1.2898,                0.71177,                0.75717,                0.77778,                0.39222,                 1.7168,                 1.3689,                 1.3066,             0.00077032,             0.00077032,             0.00077032
                    235,                 1.2712,                0.92442,                 1.2298,                0.62739,                0.73922,                0.71489,                0.36229,                 2.0548,                 1.4652,                  1.343,             0.00076933,             0.00076933,             0.00076933
                    236,                 1.2687,                 1.0241,                 1.2461,                0.67157,                0.75801,                0.73025,                0.38122,                  1.731,                 1.2179,                 1.3165,             0.00076834,             0.00076834,             0.00076834
                    237,                 1.2603,                0.92013,                 1.2354,                0.69728,                0.76567,                0.73955,                0.38788,                 1.7665,                 1.2748,                 1.3168,             0.00076735,             0.00076735,             0.00076735
                    238,                 1.2355,                0.89437,                 1.2058,                0.71743,                0.75297,                0.74328,                0.37823,                 1.7903,                 1.3777,                 1.3256,             0.00076636,             0.00076636,             0.00076636
                    239,                 1.2665,                0.94498,                 1.2458,                0.70079,                0.75891,                0.72974,                0.38852,                 1.8211,                 1.5272,                 1.3068,             0.00076537,             0.00076537,             0.00076537
                    240,                 1.2139,                0.91534,                 1.2209,                0.68252,                0.79311,                0.72396,                0.39177,                 1.7283,                 1.4711,                  1.307,             0.00076438,             0.00076438,             0.00076438
                    241,                   1.29,                0.99626,                  1.306,                0.70536,                0.75468,                0.76432,                0.40946,                 1.7986,                 1.5195,                 1.2919,             0.00076339,             0.00076339,             0.00076339
                    242,                 1.2649,                0.96016,                 1.2846,                0.64002,                0.81451,                0.74724,                0.40071,                 1.7014,                 1.5725,                 1.3179,              0.0007624,              0.0007624,              0.0007624
                    243,                 1.1908,                0.88006,                 1.2007,                0.66102,                0.78108,                0.74059,                0.40448,                 1.7066,                 1.5304,                 1.3059,             0.00076141,             0.00076141,             0.00076141
                    244,                 1.3442,                 1.0084,                 1.2818,                0.69505,                0.83518,                  0.756,                 0.4119,                 1.7163,                 1.4831,                  1.311,             0.00076042,             0.00076042,             0.00076042
                    245,                 1.1934,                0.96955,                 1.2236,                0.72849,                0.81223,                0.76868,                 0.4156,                 1.7487,                 1.2266,                 1.3029,             0.00075943,             0.00075943,             0.00075943
                    246,                 1.2403,                  1.004,                 1.2405,                0.62979,                 0.7483,                0.70482,                0.38973,                 1.6634,                 1.1655,                 1.2991,             0.00075844,             0.00075844,             0.00075844
                    247,                 1.2887,                 1.0622,                 1.2757,                0.64167,                0.69761,                 0.6901,                0.36815,                 1.7146,                 1.5569,                 1.3276,             0.00075745,             0.00075745,             0.00075745
                    248,                  1.336,                 1.0261,                 1.2593,                0.70278,                0.70338,                0.68642,                0.34788,                 1.9362,                 1.6285,                 1.3538,             0.00075646,             0.00075646,             0.00075646
                    249,                 1.1995,                0.99057,                 1.2507,                0.69867,                0.75793,                0.71437,                0.39596,                 1.6945,                 1.2644,                  1.325,             0.00075547,             0.00075547,             0.00075547
                    250,                 1.1838,                0.89196,                 1.2522,                0.74624,                 0.7592,                0.73585,                0.40475,                 1.7003,                 1.3804,                 1.2917,             0.00075448,             0.00075448,             0.00075448
                    251,                  1.186,                  1.023,                 1.2114,                0.70278,                0.68409,                0.73838,                0.39643,                 1.6458,                  1.261,                 1.2599,             0.00075349,             0.00075349,             0.00075349
                    252,                 1.1755,                0.93164,                 1.2398,                0.69075,                0.75225,                0.73857,                0.40491,                 1.6296,                 1.2491,                 1.2994,              0.0007525,              0.0007525,              0.0007525
                    253,                 1.2424,                0.93127,                 1.2117,                0.65226,                0.70789,                0.73254,                0.38824,                 1.6268,                 1.3957,                 1.3079,             0.00075151,             0.00075151,             0.00075151
                    254,                 1.2539,                0.93003,                 1.2363,                0.66214,                0.75484,                0.73179,                0.40645,                 1.5588,                 1.3452,                 1.2763,             0.00075052,             0.00075052,             0.00075052
                    255,                 1.2174,                0.91742,                 1.2444,                0.70095,                0.73594,                0.73009,                0.40201,                 1.6092,                 1.3988,                 1.2753,             0.00074953,             0.00074953,             0.00074953
                    256,                 1.2739,                 1.0069,                  1.279,                 0.6988,                0.72808,                0.74937,                 0.4093,                 1.6131,                 1.3878,                 1.2772,             0.00074854,             0.00074854,             0.00074854
                    257,                 1.2337,                0.99114,                 1.3096,                0.71445,                0.73473,                0.73136,                0.40253,                  1.697,                 1.3202,                 1.2942,             0.00074755,             0.00074755,             0.00074755
                    258,                 1.2698,                 1.0298,                 1.2838,                0.70404,                0.74555,                0.75438,                0.41961,                 1.6888,                 1.6169,                  1.287,             0.00074656,             0.00074656,             0.00074656
                    259,                 1.2462,                0.98294,                 1.2594,                0.75315,                0.73864,                 0.7562,                0.41776,                 1.6597,                 1.6063,                 1.2912,             0.00074557,             0.00074557,             0.00074557
                    260,                 1.2148,                 0.8383,                 1.2299,                 0.7655,                0.82701,                0.79851,                0.42946,                 1.6389,                 1.3507,                 1.3018,             0.00074458,             0.00074458,             0.00074458
                    261,                 1.1773,                 0.8975,                  1.194,                0.83555,                0.83085,                0.86001,                0.42245,                 1.6395,                 1.3304,                 1.2991,             0.00074359,             0.00074359,             0.00074359
                    262,                 1.1949,                 0.9198,                 1.2278,                0.75757,                0.75996,                0.78281,                0.41453,                 1.6586,                 1.2856,                 1.2866,              0.0007426,              0.0007426,              0.0007426
                    263,                  1.211,                0.93447,                 1.2501,                0.67339,                0.78413,                0.73753,                0.38188,                 1.6611,                 1.3817,                 1.3217,             0.00074161,             0.00074161,             0.00074161
                    264,                 1.2058,                0.93308,                 1.2266,                0.65204,                0.81464,                0.72867,                0.37848,                  1.734,                 1.7407,                 1.3101,             0.00074062,             0.00074062,             0.00074062
                    265,                 1.1729,                  0.929,                 1.1975,                0.66837,                0.74823,                 0.7155,                0.37894,                 1.7695,                  1.629,                 1.3494,             0.00073963,             0.00073963,             0.00073963
                    266,                 1.2471,                 0.9288,                 1.2466,                0.64249,                0.75906,                0.71209,                0.38632,                 1.6812,                 1.4403,                 1.3265,             0.00073864,             0.00073864,             0.00073864
                    267,                 1.2057,                0.91505,                  1.234,                0.71839,                0.78832,                0.72442,                0.38597,                 1.6876,                 1.5372,                 1.2995,             0.00073765,             0.00073765,             0.00073765
                    268,                 1.1899,                0.89825,                 1.1989,                0.71325,                0.70477,                 0.7255,                0.40467,                 1.6225,                 1.5211,                 1.2779,             0.00073666,             0.00073666,             0.00073666
                    269,                 1.2125,                0.89774,                 1.2268,                0.73929,                0.61882,                 0.6922,                0.35729,                 1.7134,                 1.4379,                 1.2766,             0.00073567,             0.00073567,             0.00073567
                    270,                 1.1672,                0.89199,                 1.1956,                0.71024,                0.67777,                0.69749,                0.37283,                 1.7829,                 1.2625,                 1.2971,             0.00073468,             0.00073468,             0.00073468
                    271,                 1.2007,                0.85784,                  1.227,                0.70594,                0.78498,                 0.7515,                0.40476,                   1.66,                 1.2336,                 1.2941,             0.00073369,             0.00073369,             0.00073369
                    272,                 1.1745,                0.85338,                 1.1965,                0.71799,                0.80425,                0.72806,                0.38005,                 1.7326,                  1.352,                 1.3195,              0.0007327,              0.0007327,              0.0007327
                    273,                  1.201,                0.93619,                 1.2155,                0.70051,                0.80859,                0.72954,                0.39803,                 1.7141,                 1.5051,                 1.2889,             0.00073171,             0.00073171,             0.00073171
                    274,                 1.1636,                0.93497,                 1.1594,                0.75081,                0.74625,                0.78209,                0.40793,                 1.6448,                 1.3617,                 1.2815,             0.00073072,             0.00073072,             0.00073072
                    275,                 1.2061,                 0.8986,                 1.2337,                0.66398,                0.93575,                0.78682,                0.40328,                 1.6862,                 1.5125,                 1.3129,             0.00072973,             0.00072973,             0.00072973
