                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2739,                 2.8171,                 2.3233,                 0.4912,                0.32601,                0.20556,                0.08288,                 1.5447,                 45.186,                 1.4198,             0.00096733,             0.00096733,             0.00096733
                     36,                 2.2773,                 2.9024,                  2.267,                0.48322,                0.31723,                0.19966,                0.11682,                  1.501,                 22.542,                 1.3775,             0.00096634,             0.00096634,             0.00096634
                     37,                 2.2622,                 2.6889,                 2.3123,                0.64361,                0.34881,                0.20066,                0.08851,                 2.7399,                  31.18,                 1.9342,             0.00096535,             0.00096535,             0.00096535
                     38,                 2.4575,                 3.1236,                 2.3923,                0.53699,                0.45996,                0.23826,                0.11151,                  4.252,                 45.497,                 2.6037,             0.00096436,             0.00096436,             0.00096436
                     39,                 2.3016,                    2.6,                 2.2043,                0.79152,                0.21548,                0.17251,                0.08157,                 1.2157,                 19.817,                 1.2701,             0.00096337,             0.00096337,             0.00096337
                     40,                 2.3394,                 2.8301,                 2.3055,                0.58465,                0.36201,                0.28204,                0.13399,                  1.293,                 17.287,                 1.2906,             0.00096238,             0.00096238,             0.00096238
                     41,                 2.2571,                 2.6934,                 2.2184,                0.65215,                0.36012,                0.23459,                0.12904,                0.98265,                 16.909,                 1.1561,             0.00096139,             0.00096139,             0.00096139
                     42,                 2.1782,                 2.6176,                  2.178,                0.67713,                0.30238,                0.23314,                0.11447,                 1.6025,                 16.558,                 1.3938,              0.0009604,              0.0009604,              0.0009604
                     43,                  2.173,                 2.6126,                 2.1668,                0.69877,                0.34403,                0.31497,                0.15058,                0.99341,                 17.134,                 1.1423,             0.00095941,             0.00095941,             0.00095941
                     44,                  2.205,                 2.5598,                 2.1579,                0.66611,                0.38214,                0.27789,                 0.1578,                 0.8598,                 22.265,                 1.0813,             0.00095842,             0.00095842,             0.00095842
                     45,                 2.0208,                 2.5354,                 2.0705,                0.59564,                 0.3742,                0.29152,                0.16109,                0.85436,                 19.954,                 1.0692,             0.00095743,             0.00095743,             0.00095743
                     46,                 2.1369,                 2.5585,                 2.1349,                0.44962,                0.34251,                0.31606,                 0.1615,                0.86332,                 15.109,                 1.0905,             0.00095644,             0.00095644,             0.00095644
                     47,                 2.0967,                 2.3645,                 2.1148,                 0.6763,                0.38075,                0.30799,                 0.1705,                0.83623,                 11.941,                 1.0543,             0.00095545,             0.00095545,             0.00095545
                     48,                 2.1078,                 2.4632,                 2.0449,                0.40934,                0.36326,                0.30236,                 0.1612,                 0.8665,                 14.329,                 1.0864,             0.00095446,             0.00095446,             0.00095446
                     49,                 2.1214,                  2.492,                   2.16,                0.63606,                0.39183,                 0.3304,                0.18432,                0.87478,                 13.399,                 1.0801,             0.00095347,             0.00095347,             0.00095347
                     50,                 2.1231,                 2.5726,                 2.1732,                0.63333,                0.40435,                0.33742,                0.15245,                 1.2186,                 10.888,                 1.2204,             0.00095248,             0.00095248,             0.00095248
                     51,                 1.9478,                 2.0779,                 1.9963,                0.66527,                0.45699,                0.32121,                0.18203,                 1.2363,                 9.3711,                  1.164,             0.00095149,             0.00095149,             0.00095149
                     52,                 2.0789,                 2.4156,                 2.1364,                0.48586,                0.47481,                0.35594,                 0.2045,                 1.2677,                 17.537,                 1.1667,              0.0009505,              0.0009505,              0.0009505
